id,text
1,"Le temps d'attente au service client est beaucoup trop long, j'ai attendu plus d'une heure"
2,"Impossible de trouver l'information de livraison sur le site web, très mal organisé"
3,"Le produit reçu ne correspond absolument pas à la description donnée sur le site"
4,"Très déçu de la qualité du service après-vente, aucune aide apportée"
5,"Le site web est extrêmement lent et difficile à naviguer, très frustrant"
6,"Problème récurrent avec le paiement en ligne, les transactions échouent souvent"
7,"Livraison en retard de plusieurs jours sans aucune notification préalable"
8,"Interface utilisateur très confuse et peu intuitive, impossible de s'y retrouver"
9,"Prix beaucoup trop élevé par rapport à la concurrence pour une qualité similaire"
10,"Manque total de transparence sur les frais de livraison cachés"
11,"Service client peu aimable et non professionnel dans ses réponses"
12,"Très difficile de contacter le support technique, aucune réponse rapide"
13,"Produit défectueux dès la réception, problème de qualité évident"
14,"Processus de retour beaucoup trop compliqué et bureaucratique"
15,"Site web souvent en panne ou complètement inaccessible aux heures de pointe"
16,"Informations produit incomplètes ou carrément erronées sur les fiches"
17,"Délai de livraison jamais respecté, toujours des retards importants"
18,"Interface mobile particulièrement peu ergonomique et mal adaptée"
19,"Facturation souvent incorrecte avec des erreurs difficiles à comprendre"
20,"Manque flagrant de suivi après la vente, aucun contact client"
21,"Politique de remboursement très restrictive et peu claire"
22,"Chat en ligne qui ne fonctionne jamais quand on en a besoin"
23,"Formulaire de contact qui ne transmet pas les messages correctement"
24,"Catalogue produit mal organisé, impossible de trouver ce qu'on cherche"
25,"Système de recherche sur le site complètement inefficace"
26,"Notifications par email trop fréquentes et souvent non pertinentes"
27,"Application mobile qui plante régulièrement lors des commandes"
28,"Processus d'inscription trop long et demande trop d'informations"
29,"Pas de possibilité de modifier une commande une fois passée"
30,"Service de livraison express qui n'est finalement pas plus rapide"
31,"Emballage des produits insuffisant, articles endommagés à la réception"
32,"Politique de confidentialité peu claire sur l'utilisation des données"
33,"Impossibilité de parler à un humain, que des réponses automatiques"
34,"Frais de retour à la charge du client même en cas de défaut produit"
35,"Site web non optimisé pour les personnes à mobilité réduite"
36,"Temps de chargement des pages excessivement long"
37,"Erreurs fréquentes dans le calcul des frais de port"
38,"Pas de suivi en temps réel des commandes passées"
39,"Interface de paiement peu sécurisée et inquiétante"
40,"Manque d'options de paiement alternatives comme PayPal"
